"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852358509444342112","Fri Nov 01 14:34:18 +0000 2024","2","Perceraian itu juga bisa jadi pintu dari awal kebahagiaan tapi ada yang bertahan tidak bercerai ! betul itu bisa jadi semata karena tidak mau dilihat gagal kita terbiasa didogma menikah itu bahagia padahal gak selalu seperti itu.","1852358509444342112","","","in","","0","1","0","https://x.com/Om_KeongRacing/status/1852358509444342112","1459176911339339778","Om_KeongRacing"
"1852500734715343319","Sat Nov 02 02:18:07 +0000 2024","94","@WidasSatyo Masalahnya di sekitar rumahku mayoritas patriaki &amp; kebanyakan yg langgeng krn menganggap perceraian itu aib. Makanya meskipun sering berantem kdrt perbedaan prinsip dll ya milih tetep bersama sampai maut memisahkan ","1852535630598902202","","WidasSatyo","in","Semarang, Jawa Tengah","0","5","12","https://x.com/_Orchidflow/status/1852535630598902202","321783467","_Orchidflow"
"1851209876162437549","Tue Oct 29 10:30:02 +0000 2024","3","Dimulai dari kasus pemerkosaan pembullyan karangan bunga kematian sampai kasus perceraian. Semua itu udah cukup buat aku untuk mikir kalo industri hiburan cukup untuk sekedar jadi penghibur di kala jenuh sama dunia aja","1851209876162437549","","","in","","0","2","1","https://x.com/wisnduebojoo/status/1851209876162437549","1517788828907753472","wisnduebojoo"
"1852500734715343319","Sat Nov 02 05:15:23 +0000 2024","12","@MRifaiTamam @WidasSatyo Justru di twitter ini yg kebanyakan orang curhat diselingkuhin lah patriarki lah kdrt lah perceraian lah jadi kebentuk persepsi seram soal pernikahan. Di luaran mah orang waras juga masih banyak cuma ngga bakal cerita aja kalo ngga ditanya duluan.","1852580242965049547","","bluekid1991","in","","0","1","0","https://x.com/bluekid1991/status/1852580242965049547","1510861471189995522","bluekid1991"
"1852024240528330862","Thu Oct 31 22:57:42 +0000 2024","5","@sunsvein lagipula perceraian itu bukan hal yg gampang banyak sekali hal-hal lain yg harus dipikirkan. dari sisi keluarga diri sendiri dan kedepannya harus bagaimana serta hal lain lainnya. terima atau ngga realita rumah tangga memang seperti itu","1852122804440961480","","ssjwphile","in","lemtas (au)","0","1","0","https://x.com/ssjwphile/status/1852122804440961480","1767364748516184064","ssjwphile"
"1850907929752256629","Mon Oct 28 14:30:13 +0000 2024","37","SELEBRITI | Diana Danielle membuat kejutan apabila mengumumkan mahu memfailkan perceraian terhadap suami Farid Kamil. #BuletinTV3 #FaridKamil #DianaDanielle #Cerai https://t.co/NHiiXqV1P4","1850907929752256629","https://pbs.twimg.com/media/Ga--77mWwAA-W4y.jpg","","in","Sri Pentas, Bandar Utama","3","1","8","https://x.com/BuletinTV3/status/1850907929752256629","155432431","BuletinTV3"
"1850645139750010942","Sun Oct 27 21:05:59 +0000 2024","175","Dari banyaknya kasus perceraian perselingkuhan dan kdrt yang terjadi. Sebenarnya para wanita itu bukan takut untuk menikah tapi mereka takut memilih orang yang salah. Karena aku sangat yakin bahwa MARRIAGE ISN'T SO SCARY IF YOU'RE WITH THE RIGHT PERSON. Oleh sebab itu ","1850645139750010942","","","in","","2","136","16","https://x.com/ireneclaire202/status/1850645139750010942","1583876273507487750","ireneclaire202"
"1850159679244300373","Sun Oct 27 07:57:04 +0000 2024","93","@hinata_hyugaa10 @kegblgnunfaedh anak akan jadi korban ketika orang tuanya ribut terus mba baik itu bercerai ataupun ga (dlm arti 1 rumah tp ada aja yg diributin bahkan smpe kdrt) jadi bukan masalah perceraian tp masalah hadirnya orang tua buat anak. anak sedih kalo liat ortunya bertengkar itu intinya","1850446601711751297","","hinata_hyugaa10","in","North Sumatra, Indonesia","0","2","2","https://x.com/nayalithaa/status/1850446601711751297","1508331663771979776","nayalithaa"
"1852245775591575575","Fri Nov 01 07:06:20 +0000 2024","9","Gw juga dukung kayak begini. Jadi laki yang mau nikah hanya nikah dengan wanita yang mau mengabdi jadi istri aja ga perlu drama sama wanita independent. Ini bisa minimalisir angka perceraian juga karena orang yang nikah memang yang layak dan siap aja","1852245775591575575","","","in","Kebon Jeruk","33","14","1","https://x.com/gilbertkurnia1/status/1852245775591575575","1086126175","gilbertkurnia1"
"1850927840046559338","Mon Oct 28 15:49:20 +0000 2024","3","SHORT REVIEW - HER (2013) #ngobrolinfilm Her menceritakan tentang pergulatan Theodore Twombly (Joaquin Phoenix) dengan kesepian saat pada masa-masa perceraian dengan istrinya. https://t.co/pSeb9sf1b0","1850927840046559338","https://pbs.twimg.com/media/Ga_JNI3agAA8U3u.jpg","","in","Bali, Indonesia","0","2","2","https://x.com/espressodingin/status/1850927840046559338","597305648","espressodingin"
